variable_name,model,emb_type,context,layer,y_preds,accs,f1s,f1_max_index,f1_max,f1_avg
       'philosophical', 'scientific_alchemical', 'poetic', 'mythological',
       'metaphorical_general', 'philosophical', 'mythological',
       'geographical', 'geographical', 'scientific_alchemical', 'poetic',
       'philosophical', 'metaphorical_general', 'philosophical',
       'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'metaphorical_general', 'philosophical',
       'mythological', 'medical_anatomical', 'scientific_alchemical',
       'scientific_alchemical', 'mythological', 'geographical',
       'mythological', 'mythological', 'geographical', 'mythological',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'geographical', 'mythological',
       'metaphorical_general', 'medical_anatomical', 'philosophical',
       'geographical', 'mythological', 'metaphorical_general',
       'scientific_alchemical', 'scientific_alchemical', 'philosophical',
       'mythological', 'poetic', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general', 'mythological',
       'geographical', 'mythological', 'mythological', 'mythological',
       'mythological', 'medical_anatomical', 'mythological',
       'mythological', 'mythological', 'scientific_alchemical',
       'mythological', 'medical_anatomical', 'poetic',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'poetic', 'philosophical', 'mythological', 'metaphorical_general',
       'mythological', 'mythological', 'medical_anatomical',
       'metaphorical_general', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'scientific_alchemical', 'geographical', 'scientific_alchemical',
       'scientific_alchemical', 'scientific_alchemical',
       'medical_anatomical', 'scientific_alchemical',
       'metaphorical_general', 'mythological', 'scientific_alchemical',
       'geographical', 'philosophical', 'philosophical', 'poetic',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'scientific_alchemical', 'philosophical',
       'scientific_alchemical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'mythological', 'philosophical',
       'geographical', 'mythological', 'poetic', 'mythological',
       'geographical', 'geographical', 'poetic', 'geographical', 'poetic',
       'poetic', 'philosophical', 'medical_anatomical', 'geographical',
       'metaphorical_general', 'medical_anatomical', 'philosophical',
       'philosophical', 'scientific_alchemical', 'metaphorical_general',
       'poetic', 'astronomical', 'geographical', 'geographical',
       'philosophical', 'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'philosophical', 'scientific_alchemical', 'philosophical',
       'mythological', 'astronomical', 'philosophical', 'philosophical',
       'metaphorical_general', 'mythological', 'metaphorical_general',
       'mythological', 'poetic', 'metaphorical_general', 'poetic',
       'mythological', 'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'geographical', 'geographical',
       'mythological', 'scientific_alchemical', 'geographical',
       'geographical', 'geographical', 'geographical', 'mythological',
       'philosophical', 'scientific_alchemical', 'metaphorical_general',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'mythological', 'geographical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'geographical', 'mythological', 'medical_anatomical',
       'mythological', 'poetic', 'mythological', 'poetic', 'mythological',
       'poetic', 'mythological', 'medical_anatomical', 'philosophical',
       'philosophical', 'philosophical', 'metaphorical_general',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general',
       'metaphorical_general', 'mythological', 'mythological',
       'mythological', 'geographical', 'medical_anatomical',
       'metaphorical_general', 'mythological', 'philosophical',
       'astronomical', 'scientific_alchemical', 'poetic',
       'metaphorical_general', 'medical_anatomical', 'geographical',
       'mythological', 'metaphorical_general', 'medical_anatomical',
       'medical_anatomical', 'mythological', 'medical_anatomical',
       'poetic', 'medical_anatomical', 'metaphorical_general', 'poetic',
       'geographical', 'mythological', 'mythological',
       'metaphorical_general', 'geographical', 'geographical',
       'metaphorical_general', 'mythological', 'philosophical',
       'metaphorical_general', 'geographical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'scientific_alchemical',
       'scientific_alchemical', 'astronomical', 'medical_anatomical',
       'geographical', 'medical_anatomical', 'mythological',
       'philosophical', 'geographical', 'philosophical', 'philosophical',
       'philosophical', 'mythological', 'philosophical',
       'metaphorical_general', 'philosophical', 'metaphorical_general',
       'scientific_alchemical', 'metaphorical_general',
       'metaphorical_general', 'metaphorical_general',
       'metaphorical_general', 'philosophical', 'scientific_alchemical',
       'geographical', 'metaphorical_general', 'philosophical',
       'philosophical', 'metaphorical_general', 'mythological',
       'metaphorical_general', 'mythological', 'mythological',
       'philosophical', 'mythological', 'astronomical', 'mythological',
       'metaphorical_general', 'geographical', 'geographical',
       'mythological', 'mythological', 'poetic', 'mythological',
       'geographical', 'mythological', 'mythological', 'mythological',
       'mythological', 'geographical', 'mythological',
       'metaphorical_general', 'metaphorical_general',
       'medical_anatomical', 'metaphorical_general', 'mythological',
       'medical_anatomical', 'mythological', 'metaphorical_general',
       'geographical', 'medical_anatomical', 'medical_anatomical',
       'mythological', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'philosophical', 'geographical', 'geographical', 'poetic',
       'mythological', 'geographical', 'geographical',
       'metaphorical_general', 'mythological', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'metaphorical_general', 'medical_anatomical',
       'metaphorical_general', 'medical_anatomical', 'medical_anatomical',
       'metaphorical_general', 'metaphorical_general', 'geographical',
       'mythological', 'poetic', 'geographical', 'mythological',
       'mythological', 'mythological', 'mythological', 'poetic',
       'geographical', 'mythological', 'geographical', 'mythological',
       'geographical', 'mythological', 'poetic', 'mythological',
       'spiritual_religious', 'geographical', 'mythological',
       'geographical', 'medical_anatomical', 'mythological',
       'medical_anatomical', 'medical_anatomical', 'medical_anatomical',
       'medical_anatomical', 'geographical', 'geographical',
       'geographical', 'medical_anatomical', 'medical_anatomical',
